                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9021,                 2.2186,                 1.5995,                0.67139,                0.56959,                0.59478,                0.26518,                 1.8117,                 2.1483,                 1.5726,             0.00066026,             0.00066026,             0.00066026
                      2,                 1.7998,                 1.5713,                 1.5127,                0.67203,                0.61598,                0.63818,                 0.2963,                 1.8644,                 1.6198,                 1.6888,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.7973,                 1.3902,                 1.5462,                0.69404,                0.64175,                0.64831,                0.26925,                 2.0463,                 1.6159,                 1.9002,              0.0019541,              0.0019541,              0.0019541
                      4,                 1.7832,                 1.2858,                 1.5454,                0.69538,                0.65361,                0.68861,                0.32398,                 1.8429,                 1.3409,                 1.7067,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7792,                 1.2866,                 1.5458,                0.72531,                 0.6366,                0.68512,                0.31852,                 1.8873,                 1.3323,                 1.7569,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7667,                  1.257,                  1.562,                0.75752,                0.70515,                0.74552,                0.36834,                 1.7343,                 1.2392,                 1.6372,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7262,                 1.2074,                  1.522,                0.73309,                0.70364,                0.74192,                0.36193,                 1.7406,                  1.263,                 1.6316,               0.001901,               0.001901,               0.001901
                      8,                 1.7205,                 1.1846,                 1.5027,                 0.7273,                0.64888,                0.69499,                0.30162,                 1.9663,                 1.2939,                 1.8048,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7253,                 1.2145,                 1.5247,                0.72172,                0.66041,                0.70782,                 0.3351,                 1.7752,                 1.2385,                 1.6662,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6865,                 1.1262,                  1.495,                0.73021,                0.69339,                0.73064,                 0.3656,                 1.7181,                 1.1797,                 1.6343,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.689,                 1.1625,                 1.5062,                0.74162,                0.72268,                0.75638,                0.38288,                 1.7316,                 1.1109,                 1.6252,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6806,                 1.1387,                 1.4954,                0.74697,                0.66392,                0.72825,                0.34628,                 1.7896,                 1.2517,                  1.683,               0.001802,               0.001802,               0.001802
                     13,                 1.6867,                 1.1605,                 1.5038,                0.72669,                0.73041,                  0.764,                0.39165,                 1.7169,                 1.0569,                 1.6314,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.6591,                 1.1327,                 1.4839,                0.74287,                0.73715,                0.76462,                0.39134,                 1.6933,                 1.0769,                 1.6211,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6754,                 1.1144,                 1.4836,                0.74559,                 0.7201,                0.75364,                0.38486,                 1.7211,                  1.127,                  1.632,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6579,                 1.1259,                  1.479,                0.76262,                0.67729,                0.73632,                0.37565,                 1.7261,                 1.1961,                 1.6622,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6593,                 1.0909,                 1.4806,                0.73018,                 0.6933,                0.73932,                0.35549,                 1.7845,                 1.1179,                 1.6477,               0.001703,               0.001703,               0.001703
                     18,                 1.6774,                 1.1255,                 1.4831,                0.75715,                  0.728,                0.76989,                 0.3868,                 1.7014,                 1.0843,                 1.6111,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6422,                 1.0873,                 1.4678,                0.73829,                0.71392,                0.74871,                0.38176,                 1.6907,                 1.0965,                 1.6041,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6449,                 1.0923,                 1.4814,                0.75666,                0.70979,                0.76108,                0.38909,                 1.7108,                  1.055,                 1.6147,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.6255,                 1.0943,                 1.4689,                0.76533,                0.70928,                0.77101,                0.39208,                 1.6992,                  1.056,                 1.6092,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6158,                 1.0966,                 1.4534,                0.76375,                 0.7067,                0.77004,                0.39603,                 1.6789,                 1.0462,                 1.6037,               0.001604,               0.001604,               0.001604
